2898,Crazy Beautiful You,9489,50,0014,2022-12-29,1,unavailable
0704,Aelita: The Queen of Mars (Aelita),2924,72,1613,2022-11-28,2,available
7685,Weekend at Bernie's II,2151,77,7165,2023-01-09,8,out of stock
9374,These Amazing Shadows,6049,19,7769,2023-06-27,1,in stock
7484,Sparrows Dance,6569,44,8421,2023-09-27,7,unavailable
6229,"Human Behavior Experiments, The",2080,29,1842,2023-01-02,0,in stock
3984,"Glass Key, The",9369,65,3693,2022-10-22,2,in stock
7824,"Groundstar Conspiracy",5799,98,9624,2023-06-19,0,in stock
1537,Alien Nation: Dark Horizon,2916,29,0299,2023-04-06,9,out of stock
5450,Must Love Dogs,1444,70,6272,2022-10-07,9,unavailable
2082,Bonnie Scotland (Heroes of the Regiment),2631,50,1770,2023-06-29,8,available
1689,May in the Summer,0853,53,4406,2023-01-24,7,out of stock
9888,Legends of Oz: Dorothy's Return,6621,08,2091,2023-08-02,8,unavailable
2405,Crossworlds,5924,46,5269,2023-05-27,3,available
6149,Blade: Trinity,1635,03,2217,2023-01-20,4,unavailable
5970,Miracle,7065,09,6025,2022-10-14,2,available
8877,Vizontele,8402,46,9854,2023-09-27,3,unavailable
1059,Men Cry Bullets,4895,30,3482,2023-03-26,7,out of stock
3123,Ernest Scared Stupid,6832,09,3987,2022-10-06,8,in stock
6638,Effi Briest (Fontane - Effi Briest),1286,84,5392,2023-01-05,6,in stock
3886,"Discreet Charm of the Bourgeoisie, The (Charme discret de la bourgeoisie, Le)",7115,41,0584,2022-12-31,5,available
3846,Dead Fish,7971,94,4266,2023-04-23,6,unavailable
1566,Doomsday Book,6347,26,5211,2023-08-28,9,out of stock
4778,Norma Rae,0941,58,0521,2023-03-02,7,out of stock
3365,"Magic Christian, The",9668,35,6180,2023-06-20,9,in stock
7422,Bandidas,8304,66,2226,2023-06-09,6,available
2985,Christmas Evil (a.k.a. You Better Watch Out),1520,13,7922,2022-10-26,7,available
6598,"House with Laughing Windows, The (Casa dalle finestre che ridono, La)",8728,72,9321,2023-01-31,3,available
7657,Unbroken,4766,51,2629,2023-03-31,3,in stock
6575,"Five People You Meet in Heaven, The",0225,39,9126,2023-02-12,1,available
1829,Bel Ami,5154,34,6589,2022-10-25,1,out of stock
2355,Beyond Therapy,0595,84,7408,2023-08-09,1,available
8664,Latin Music USA,4630,47,0776,2023-02-27,9,available
1441,"Romulus, My Father",0822,77,8471,2023-09-22,5,in stock
7330,"Silences of the Palace, The (Saimt el Qusur)",0404,57,1193,2022-12-25,0,out of stock
0423,"Late Great Planet Earth, The",4029,47,8032,2023-02-23,0,in stock
8128,Finder's Fee,5213,82,2564,2023-08-02,9,available
8867,Bad Guy (Nabbeun namja),0765,54,7151,2023-04-23,0,in stock
1123,100 Years of Evil,8067,61,4628,2023-01-18,5,in stock
5849,"Woman's Secret, A",1588,63,0407,2023-07-26,0,out of stock
3512,"Moment of Innocence, A (Nun va Goldoon)",3346,20,1675,2023-08-12,3,available
1644,Alone for Christmas,3835,47,0538,2023-03-28,1,in stock
4538,Pay It Forward,2210,83,4015,2023-04-14,4,available
8910,Ollin oppivuodet,4013,82,9833,2022-11-01,4,unavailable
2834,Splendor in the Grass,2239,62,8513,2023-07-10,1,in stock
0217,Tokyo Joe,1871,95,7097,2023-07-29,6,out of stock
8387,One of Our Dinosaurs Is Missing,4610,08,5094,2023-06-13,0,available
6297,Maid in Sweden,4454,43,2446,2023-03-24,8,out of stock
1511,Santa Claus Has Blue Eyes (Le père Noël a les yeux bleus),9578,12,4850,2023-04-27,3,out of stock
6428,"Corbeau, Le (Raven, The)",1740,81,7604,2023-02-15,5,in stock
4135,LennoNYC,5220,20,1756,2022-11-29,5,available
1894,Rolling,8136,36,0091,2023-01-22,2,available
9129,"Prodigal Son, The (Bai ga jai)",0184,43,1741,2023-09-14,0,available
5398,Alvarez Kelly,8743,25,1242,2022-12-05,5,available
9050,"Family Tree, The",8733,43,4609,2023-07-15,3,out of stock
0894,Resistance,1798,94,6808,2023-02-10,8,out of stock
4840,Bernie,3054,60,2470,2022-12-24,2,unavailable
8564,"Lost World, The",8633,03,2746,2023-07-14,6,unavailable
6921,Tank Girl,4934,03,3206,2023-06-01,9,available
2262,Frozen,2513,71,7915,2023-08-03,9,in stock
6748,Justice League: The Flashpoint Paradox,1372,44,4989,2023-01-21,4,in stock
6282,"Key, The",8847,16,6153,2023-08-15,8,available
3780,Jude,3674,16,6703,2023-09-12,9,out of stock
0117,"Hitch Hikers Guide to the Galaxy, The",8406,52,2494,2023-04-30,3,available
